,CFU/mL,Sensor1,Sensor2,Sensor3,Sensor4,label
0,1.0,-183.78,-65.5,-68.34,603.7072315371715,1
1,1.0,-150.23,-50.57,-64.37,603.7072315371715,1
2,10.0,-128.55,-35.58,-54.39,578.0769749501844,1
3,80.0,-115.18,-25.25,-36.27,554.9305468624422,1
4,700.0,-112.206,-20.62,-31.24,530.7866387564721,1
5,3050.0,-109.94,-19.62,-27.24,514.4037326287156,1
6,19433.418743807648,-99.8385047997232,0.0,0.0,493.7906149301896,1
7,30500.0,-107.42,-18.7,-23.93,488.77347604172854,1
8,135412.95350011796,-99.88677071250018,0.0,0.0,472.18146362185,1
9,305000.0,-99.96,-8.39,-10.41,463.1432194547415,1
10,324879.1482733022,-100.05772656149206,0.0,0.0,462.44038659555076,1
11,329549.1953043724,-100.51581729160402,0.0,0.0,462.2815195618131,1
12,416345.7451870226,-100.10777178283372,0.0,0.0,459.67918028651945,1
13,2695592.7048568274,-95.39656680593912,49.43572018219157,32.534603222162005,438.8879125143717,1
14,3036921.674397244,-95.48484289643584,49.42245620892747,33.213241020091736,437.56079528858936,1
15,3050000.0,-95.7,50.162,32.63,437.5129628677545,1
16,3094890.5075906552,-95.6594348389487,50.31631105325295,32.35447316735974,437.3503273658779,1
17,3227476.74352717,-95.30843533298756,49.49104275998463,32.2215445086691,436.8833996430057,1
18,3331523.0846185824,-95.58968015431776,49.636112642563006,33.58881209296357,436.5302222583106,1
19,30291286.90646695,-67.97242965414624,71.21879167343796,52.5961963424289,411.9591386506028,1
20,30356066.28484008,-68.24790354498263,70.75741038199291,52.22819609274061,411.93535971830397,1
21,30413290.450284377,-68.30186025811477,71.5478840756502,53.67604158442349,411.9143962943325,1
22,30500000.0,-68.02,70.734,52.47,411.88270628076737,1
23,30684463.343133934,-68.21358474433076,70.68786931589013,52.95135844927474,411.81558851410125,1
24,30774305.31316802,-67.92178603266238,70.45670458141744,52.79954833614673,411.78304510977796,1
