Dilution,Sensor1,Sensor2,Sensor3,Label
0.1,-68.02,70.734,52.47,A1
0.01,-95.7,50.162,32.63,A1
0.001,-99.96,-8.39,-10.41,A1
0.0001,-107.42,-18.7,-23.93,A1
1e-05,-109.94,-19.62,-27.24,A1
1e-06,-112.206,-20.62,-31.24,A1
1e-07,-115.18,-25.25,-36.27,A1
1e-08,-128.55,-35.58,-54.39,A1
1e-09,-150.23,-50.57,-64.37,A1
1e-10,-183.78,-65.5,-68.34,A1
0.1,-84.64,99.88,61.648,A2
0.01,-255.56,78.77,54.62,A2
0.001,-298.65,66.63,35.35,A2
0.0001,-277.04,13.0,-4.65,A2
1e-05,-261.07,8.0,-20.61,A2
1e-06,-252.281,3.0,-22.08,A2
1e-07,-255.28,5.0,-26.12,A2
1e-08,-161.09,6.0,-28.53,A2
1e-09,-137.72,35.203,-34.81,A2
1e-10,-131.26,45.31,-69.0,A2
0.1,80.43,-36.7,102.4,A3
0.01,109.723,-53.4,73.8,A3
0.001,139.061,-60.1,28.14,A3
0.0001,161.443,-62.8,25.4,A3
1e-05,164.42,-64.7,-36.2,A3
1e-06,164.52,-66.8,-56.61,A3
1e-07,164.78,-68.0,-54.59,A3
1e-08,165.0,-68.3,-54.59,A3
1e-09,166.657,-68.8,-56.36,A3
1e-10,167.0,-69.56,-67.8,A3
0.1,194.0,159.64,157.0,Mix_111
0.01,166.0,120.78,143.0,Mix_111
0.001,162.0,110.6,110.0,Mix_111
0.0001,160.0,103.806,114.9,Mix_111
1e-05,159.0,103.124,143.0,Mix_111
1e-06,157.0,98.77,143.0,Mix_111
1e-07,150.0,93.63,156.0,Mix_111
1e-08,143.0,87.31,155.0,Mix_111
1e-09,141.0,81.88,160.0,Mix_111
1e-10,191.0,82.7,165.0,Mix_111
0.1,128.4,-0.087,141.23,Mix_101
0.01,118.4,-14.223,108.37,Mix_101
0.001,80.6,-26.211,74.8,Mix_101
0.0001,8.5,-28.113,-26.43,Mix_101
1e-05,8.37,-29.5,-33.08,Mix_101
1e-06,7.8,-29.113,-31.52,Mix_101
1e-07,11.11,-30.01,-34.03,Mix_101
1e-08,8.3,-30.81,-48.63,Mix_101
1e-09,6.7,-30.71,-49.67,Mix_101
1e-10,2.39,-27.99,-46.01,Mix_101
