CFU/mL,Sensor2,Sensor1,Sensor3,Label
30500000.0,70.734,-68.02,52.47,1
3050000.0,50.162,-95.7,32.63,1
305000.0,-8.39,-99.96,-10.41,1
30500.0,-18.7,-107.42,-23.93,1
3050.0,-19.62,-109.94,-27.24,1
700.0,-20.62,-112.206,-31.24,1
80.0,-25.25,-115.18,-36.27,1
10.0,-35.58,-128.55,-54.39,1
1.0,-50.57,-150.23,-64.37,1
1.0,-65.5,-183.78,-68.34,1
275085.1000997744,0.0,-100.10785799627908,0.0,1
2767783.3563163355,51.09664815568737,-95.8697175715267,32.170746557350974,1
30389021.38726146,70.0143036300285,-68.21326261521783,52.358613502027026,1
554983.3352837467,0.0,-99.84979612017848,0.0,1
2963396.451130047,49.59435883752241,-95.43338748272716,32.70565410589227,1
30798039.338784933,71.80200065467623,-67.88473825369474,53.15242004974473,1
351577.816331084,0.0,-100.29576546916047,0.0,1
3154548.9212895986,49.8811883132561,-95.6028115746522,32.085553897930815,1
30768595.264520746,70.31126258402045,-67.78394530934422,52.2402227888866,1
643176.8402304517,0.0,-99.95291174862268,0.0,1
3397231.230629661,49.447989651377746,-96.20826521679386,31.67110811204126,1
30220301.409836773,70.56332080109108,-68.1292424974455,52.45112361610671,1
466132.117866301,0.0,-99.68926103761294,0.0,1
2880389.112645891,49.21146444917259,-95.24383420466438,33.353465229940916,1
30462389.077355195,71.67049778958936,-68.00618203384803,52.269312458355095,1
