CFU/mL,Sensor2,Sensor1,Sensor3,log
30500000.0,70.734,-68.02,52.47,17.23323724157764
3050000.0,50.162,-95.7,32.63,14.930652148583594
305000.0,-8.39,-99.96,-10.41,12.628067055589549
30500.0,-18.7,-107.42,-23.93,10.325481962595504
3050.0,-19.62,-109.94,-27.24,8.022896869601457
700.0,-20.62,-112.206,-31.24,6.551080335043404
80.0,-25.25,-115.18,-36.27,4.382026634673881
10.0,-35.58,-128.55,-54.39,2.302585092994046
0.0,-50.57,-150.23,-64.37,-inf
0.0,-65.5,-183.78,-68.34,-inf
175904.11783235578,0.0,-99.8434299988593,0.0,12.68757327712098
3426401.0758104553,49.81287977539649,-95.61041707781041,32.126248321543684,14.925457818271383
30356223.932569187,70.30856172722582,-67.42713419059162,53.08268907866245,17.225974250989644
0.0,0.0,-99.99343365904738,0.0,12.641214662467219
2899869.2929136604,49.46206214904617,-95.64896800919054,32.87648339388032,14.942681728479917
30107247.111262135,70.4809300433954,-67.52409619786089,52.80791697614256,17.18112781979847
676439.8771856818,0.0,-99.548188592102,0.0,12.593101406394588
3319154.422844621,49.8861612763161,-95.71991388337173,32.891941369895854,14.892113499881898
30480719.325587995,70.68991553256055,-68.01858820444339,51.15570817039173,17.200519162944428
192394.74686181004,0.0,-100.8006428441392,0.0,12.62622813920838
3063027.590037016,49.98414609279281,-95.46399773031973,32.19887594790081,14.933929828834842
30572122.294716112,70.64101684696521,-68.28697836350767,52.046838467866586,17.20920579260161
450194.4529822947,0.0,-100.23303654197744,0.0,12.626877412041738
2600090.909200548,50.00639756817823,-95.70543285492347,33.54215718034456,14.883082785418454
30569366.475339096,70.68202462556653,-68.05951527553594,52.37388259698134,17.22975808053226
