CFU/mL,Sensor2,Sensor1,Sensor3,log
49200000.0,99.88,-84.64,61.648,17.711404181462537
4920000.0,78.77,-255.56,54.62,15.40881908846849
492000.0,66.63,-298.65,35.35,13.106233995474446
49200.0,13.0,-277.04,-4.65,10.803648902480399
4920.0,8.0,-261.07,-20.61,8.501063809486354
490.0,3.0,-252.281,-22.08,6.194405391104672
180.0,5.0,-255.28,-26.12,5.19295685089021
40.0,6.0,-161.09,-28.53,3.6888794541139363
0.0,35.203,-137.72,-34.81,-inf
0.0,45.31,-131.26,-69.0,-inf
137598.23558965535,66.87055970520113,-299.1355546463428,35.585366767994465,13.09358476105207
4672484.437343159,78.9639595050071,-254.90341975444625,54.895345462730724,15.471344182150581
48400293.69322509,99.72637036071173,-85.34002251326683,61.559887633327996,17.751799889512807
261743.47547121003,66.93120926116502,-300.42324017174985,35.25899227135113,13.133361103139483
5075325.731848527,78.26236887172158,-252.49660225583972,54.55282083546505,15.36199043905868
49362896.08431755,99.5977380146705,-83.71917295026174,61.66414185358996,17.767729394285986
618047.1558747838,66.83159211368788,-299.6361574080298,35.6049283007751,13.149033789191863
3873340.5179970986,78.69682425598775,-251.42410516372064,54.31317369419701,15.395833979644827
49946026.06341968,100.23244924879717,-85.63101895370718,61.74441015168079,17.695676518464
371324.296862883,66.40062009370136,-298.9822568560037,35.519437780783754,13.142037064445418
3988170.4281231444,78.68559214655528,-255.34240491086342,54.7526886285116,15.40654337198889
49039735.801604874,100.26991386935171,-81.61004435695035,61.76357566911394,17.692296407037134
0.0,66.86467614734855,-301.01300157716344,35.372890133873405,13.073939492819447
5766232.586489889,78.83183294765035,-255.20481973310766,54.50429241267446,15.45914399410942
49325009.04214805,99.88507679647857,-84.61625567869234,61.51540805965398,17.67064509107355
