CFU/mL,Sensor1,Sensor2,Sensor3
49113684.21052632,-84.97317738791423,99.83884990253411,61.634300194931775
49027368.421052635,-85.30635477582847,99.79769980506822,61.620600389863554
48941052.631578945,-85.63953216374269,99.75654970760233,61.606900584795326
48854736.84210526,-85.97270955165692,99.71539961013644,61.5932007797271
48768421.05263158,-86.30588693957115,99.67424951267056,61.57950097465887
48682105.2631579,-86.63906432748539,99.63309941520467,61.56580116959065
48595789.473684214,-86.9722417153996,99.59194931773878,61.55210136452242
48509473.684210524,-87.30541910331384,99.55079922027289,61.53840155945419
48423157.89473684,-87.63859649122807,99.50964912280702,61.524701754385966
48336842.10526316,-87.9717738791423,99.46849902534113,61.511001949317745
48250526.315789476,-88.30495126705654,99.42734892787524,61.49730214424952
48164210.526315786,-88.63812865497076,99.38619883040936,61.48360233918129
48077894.7368421,-88.97130604288499,99.34504873294347,61.46990253411306
47991578.94736842,-89.30448343079922,99.30389863547758,61.45620272904484
47905263.15789474,-89.63766081871346,99.26274853801169,61.44250292397661
47818947.368421055,-89.97083820662768,99.2215984405458,61.428803118908384
47732631.578947365,-90.30401559454191,99.18044834307992,61.415103313840156
47646315.78947368,-90.63719298245614,99.13929824561403,61.401403508771935
47560000.0,-90.97037037037038,99.09814814814814,61.38770370370371
47473684.21052632,-91.30354775828461,99.05699805068225,61.37400389863548
47387368.421052635,-91.63672514619883,99.01584795321637,61.36030409356725
47301052.631578945,-91.96990253411306,98.97469785575048,61.34660428849903
47214736.84210526,-92.3030799220273,98.93354775828459,61.3329044834308
47128421.05263158,-92.63625730994153,98.89239766081872,61.319204678362574
47042105.2631579,-92.96943469785575,98.85124756335283,61.30550487329435
46955789.47368421,-93.30261208576998,98.81009746588694,61.291805068226125
46869473.684210524,-93.63578947368421,98.76894736842105,61.2781052631579
46783157.89473684,-93.96896686159845,98.72779727095516,61.26440545808967
46696842.10526316,-94.30214424951268,98.68664717348928,61.25070565302145
46610526.315789476,-94.6353216374269,98.64549707602339,61.23700584795322
46524210.526315786,-94.96849902534113,98.6043469785575,61.22330604288499
46437894.7368421,-95.30167641325536,98.56319688109161,61.209606237816764
46351578.94736842,-95.6348538011696,98.52204678362573,61.195906432748544
46265263.15789474,-95.96803118908382,98.48089668615984,61.182206627680316
46178947.368421055,-96.30120857699805,98.43974658869395,61.16850682261209
46092631.578947365,-96.63438596491228,98.39859649122806,61.15480701754386
46006315.78947368,-96.96756335282652,98.35744639376217,61.14110721247564
45920000.0,-97.30074074074074,98.31629629629629,61.12740740740741
45833684.21052632,-97.63391812865497,98.2751461988304,61.11370760233918
45747368.421052635,-97.9670955165692,98.23399610136451,61.100007797270955
45661052.631578945,-98.30027290448344,98.19284600389864,61.086307992202734
45574736.84210526,-98.63345029239767,98.15169590643275,61.072608187134506
45488421.05263158,-98.96662768031189,98.11054580896686,61.05890838206628
45402105.2631579,-99.29980506822612,98.06939571150097,61.04520857699805
45315789.47368421,-99.63298245614035,98.02824561403509,61.03150877192983
45229473.684210524,-99.96615984405459,97.9870955165692,61.0178089668616
45143157.89473684,-100.29933723196882,97.94594541910331,61.00410916179337
45056842.10526316,-100.63251461988304,97.90479532163742,60.99040935672515
44970526.315789476,-100.96569200779727,97.86364522417153,60.976709551656924
44884210.52631579,-101.2988693957115,97.82249512670565,60.963009746588696
44797894.7368421,-101.63204678362574,97.78134502923976,60.94930994152047
44711578.94736842,-101.96522417153997,97.74019493177387,60.93561013645225
44625263.15789474,-102.29840155945419,97.69904483430798,60.92191033138402
44538947.368421055,-102.63157894736842,97.6578947368421,60.90821052631579
44452631.578947365,-102.96475633528266,97.61674463937621,60.89451072124756
44366315.78947368,-103.29793372319688,97.57559454191033,60.88081091617934
44280000.0,-103.63111111111111,97.53444444444445,60.867111111111114
44193684.21052632,-103.96428849902534,97.49329434697856,60.85341130604289
44107368.421052635,-104.29746588693958,97.45214424951267,60.83971150097466
44021052.631578945,-104.63064327485381,97.41099415204678,60.82601169590644
43934736.84210526,-104.96382066276803,97.3698440545809,60.81231189083821
43848421.05263158,-105.29699805068226,97.32869395711501,60.79861208576998
43762105.2631579,-105.6301754385965,97.28754385964912,60.784912280701754
43675789.47368421,-105.96335282651073,97.24639376218323,60.77121247563353
43589473.684210524,-106.29653021442496,97.20524366471734,60.757512670565305
43503157.89473684,-106.62970760233918,97.16409356725146,60.74381286549708
43416842.10526316,-106.96288499025341,97.12294346978557,60.73011306042885
43330526.315789476,-107.29606237816765,97.08179337231968,60.71641325536063
43244210.52631579,-107.62923976608188,97.04064327485379,60.7027134502924
43157894.7368421,-107.96241715399611,96.9994931773879,60.68901364522417
43071578.94736842,-108.29559454191033,96.95834307992202,60.67531384015595
42985263.15789474,-108.62877192982457,96.91719298245613,60.66161403508772
42898947.368421055,-108.9619493177388,96.87604288499026,60.647914230019495
42812631.578947365,-109.29512670565302,96.83489278752437,60.63421442495127
42726315.78947368,-109.62830409356725,96.79374269005848,60.620514619883046
42640000.0,-109.96148148148148,96.75259259259259,60.60681481481482
42553684.21052632,-110.29465886939572,96.7114424951267,60.59311500974659
42467368.421052635,-110.62783625730995,96.67029239766082,60.57941520467836
42381052.631578945,-110.96101364522417,96.62914230019493,60.56571539961014
42294736.84210526,-111.2941910331384,96.58799220272904,60.55201559454191
42208421.05263158,-111.62736842105264,96.54684210526315,60.538315789473685
42122105.2631579,-111.96054580896687,96.50569200779726,60.52461598440546
42035789.47368421,-112.2937231968811,96.46454191033138,60.51091617933724
41949473.684210524,-112.62690058479532,96.42339181286549,60.49721637426901
41863157.89473684,-112.96007797270956,96.3822417153996,60.48351656920078
41776842.10526316,-113.29325536062379,96.34109161793371,60.46981676413255
41690526.315789476,-113.62643274853802,96.29994152046783,60.45611695906433
41604210.52631579,-113.95961013645226,96.25879142300195,60.442417153996104
41517894.7368421,-114.29278752436647,96.21764132553606,60.428717348927876
41431578.94736842,-114.62596491228071,96.17649122807018,60.41501754385965
41345263.15789474,-114.95914230019494,96.13534113060429,60.40131773879143
41258947.368421055,-115.29231968810916,96.0941910331384,60.3876179337232
41172631.578947365,-115.6254970760234,96.05304093567251,60.37391812865497
41086315.78947368,-115.95867446393763,96.01189083820663,60.36021832358675
41000000.0,-116.29185185185186,95.97074074074074,60.34651851851852
40913684.21052632,-116.62502923976609,95.92959064327485,60.332818713450294
40827368.421052635,-116.95820662768031,95.88844054580896,60.319118908382066
40741052.631578945,-117.29138401559455,95.84729044834307,60.305419103313845
40654736.84210526,-117.62456140350878,95.80614035087719,60.29171929824562
40568421.05263158,-117.957738791423,95.7649902534113,60.27801949317739
40482105.2631579,-118.29091617933724,95.72384015594541,60.26431968810916
40395789.47368421,-118.62409356725146,95.68269005847952,60.25061988304094
40309473.684210524,-118.9572709551657,95.64153996101363,60.23692007797271
40223157.89473684,-119.29044834307993,95.60038986354775,60.223220272904484
40136842.10526316,-119.62362573099415,95.55923976608187,60.209520467836256
